2025-05-06 20:26:16 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 21:51:43 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 21:51:48 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 21:51:48 [main] ERROR ru.sdmitriy612.user.User - Error during authorization: No suitable driver found for jdbc:postgresql://localhost:5432/postgres
2025-05-08 22:27:52 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 22:27:58 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 22:27:58 [main] ERROR ru.sdmitriy612.user.User - Error during authorization: No suitable driver found for jdbc:postgresql://localhost:5432/postgres
2025-05-08 22:29:25 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 22:29:29 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 22:29:29 [main] ERROR ru.sdmitriy612.user.User - Error during authorization: Подсоединение по адресу localhost:5432 отклонено. Проверьте что хост и порт указаны правильно и что postmaster принимает TCP/IP-подсоединения.
2025-05-08 22:30:03 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 22:30:07 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 22:30:07 [main] ERROR ru.sdmitriy612.user.User - Error during authorization: Подсоединение по адресу localhost:5432 отклонено. Проверьте что хост и порт указаны правильно и что postmaster принимает TCP/IP-подсоединения.
2025-05-08 22:31:49 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 22:31:54 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 22:31:54 [main] ERROR ru.sdmitriy612.user.User - Error during authorization: Подсоединение по адресу localhost:5432 отклонено. Проверьте что хост и порт указаны правильно и что postmaster принимает TCP/IP-подсоединения.
2025-05-08 22:33:17 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 22:33:20 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 22:33:21 [main] ERROR ru.sdmitriy612.user.User - Error during authorization: FATAL: password authentication failed for user "root"
2025-05-08 22:37:02 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 22:37:06 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 22:37:06 [main] ERROR ru.sdmitriy612.user.User - Error during authorization: Cannot invoke "ru.sdmitriy612.interactors.UserAuthorization.login()" because "this.userAuthorization" is null
2025-05-08 23:12:49 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 23:12:57 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 23:13:02 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/help, args=[], userAuthorization=null, builder=null]
2025-05-08 23:13:34 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:14:38 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 23:14:43 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:15:15 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 23:15:21 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 23:15:24 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:15:56 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signup, args=[], userAuthorization=null, builder=null]
2025-05-08 23:15:56 [main] ERROR ru.sdmitriy612.user.User - Error during user creation: Cannot invoke "ru.sdmitriy612.interactors.UserAuthorization.login()" because "this.userAuthorization" is null
2025-05-08 23:19:11 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 23:19:17 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:19:21 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signup, args=[], userAuthorization=null, builder=null]
2025-05-08 23:20:04 [main] INFO  ru.sdmitriy612.server.Server - Server started
2025-05-08 23:20:08 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signup, args=[], userAuthorization=null, builder=null]
2025-05-08 23:21:39 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:21:39 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signim, args=[], userAuthorization=null, builder=null]
2025-05-08 23:21:39 [main] ERROR ru.sdmitriy612.server.handling.InputHandler - Reading object error: Cannot invoke "ru.sdmitriy612.command.Command.getCommandType()" because "command" is null
2025-05-08 23:21:39 [main] ERROR ru.sdmitriy612.server.Server - Handling input error: Cannot read object from client: Cannot invoke "ru.sdmitriy612.command.Command.getCommandType()" because "command" is null
2025-05-08 23:21:49 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:21:49 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/help, args=[], userAuthorization=null, builder=null]
2025-05-08 23:21:49 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server processed data. Response: Response[message=You haven't signed in or entered login or password is incorrect, responseType=FINAL]
2025-05-08 23:21:49 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server sent response to client
2025-05-08 23:22:07 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:22:07 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 23:22:07 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server processed data. Response: Response[message=You haven't signed in or entered login or password is incorrect, responseType=FINAL]
2025-05-08 23:22:07 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server sent response to client
2025-05-08 23:22:10 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:22:10 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:22:10 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server processed data. Response: Response[message=Login or password is incorrect, responseType=CLIENT]
2025-05-08 23:22:10 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server sent response to client
2025-05-08 23:25:57 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:25:57 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:25:57 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server processed data. Response: Response[message=Login or password is incorrect, responseType=CLIENT]
2025-05-08 23:25:57 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server sent response to client
2025-05-08 23:27:56 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:27:56 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
2025-05-08 23:27:56 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server processed data. Response: Response[message=You haven't signed in or entered login or password is incorrect, responseType=FINAL]
2025-05-08 23:27:56 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server sent response to client
2025-05-08 23:27:59 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:27:59 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:27:59 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server processed data. Response: Response[message=Login or password is incorrect, responseType=CLIENT]
2025-05-08 23:27:59 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server sent response to client
2025-05-08 23:29:09 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:29:09 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:29:09 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server processed data. Response: Response[message=Login or password is incorrect, responseType=CLIENT]
2025-05-08 23:29:09 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server sent response to client
2025-05-08 23:30:33 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:30:33 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:30:33 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server processed data. Response: Response[message=Login or password is incorrect, responseType=CLIENT]
2025-05-08 23:30:33 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server sent response to client
2025-05-08 23:31:08 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:31:08 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/signin, args=[], userAuthorization=null, builder=null]
2025-05-08 23:31:08 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server processed data. Response: Response[message=Login or password is incorrect, responseType=CLIENT]
2025-05-08 23:31:09 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server sent response to client
2025-05-08 23:32:39 [main] INFO  ru.sdmitriy612.server.handling.InputHandler - Server received data from client
2025-05-08 23:32:39 [main] INFO  ru.sdmitriy612.server.handling.Processor - Server started process data from client. Data: Request[commandName=/show, args=[], userAuthorization=null, builder=null]
